n_episode,n_iteration,n_sample,n_horizon,xo,yo,vxo,vyo,xg,yg,thetag,vxg,vyg,omegag
0,11,0,0,1.6452592611312866,6.111701965332031,1.8941056728363037,1.8055472373962402,1.298555850982666,6.38541316986084,-0.5205317735671997,1.6342824697494507,1.4835087060928345,-0.9378984570503235
0,11,0,1,1.9888163805007935,6.4016032218933105,2.6987509727478027,2.069037914276123,1.611993432044983,6.62632942199707,-0.6689767241477966,2.5489070415496826,1.744400978088379,-1.0377142429351807
1,0,0,0,6.864147186279297,4.602630615234375,-0.0017894628690555692,0.16233420372009277,6.872047424316406,5.0125908851623535,0.004239124711602926,0.10070142894983292,0.16157948970794678,0.055580656975507736
1,0,0,1,6.863088607788086,4.632701873779297,-0.014463088475167751,0.23656830191612244,6.883197784423828,5.042436122894287,0.015015271492302418,0.04697329178452492,0.23443248867988586,0.08804906159639359
1,0,0,2,6.858712196350098,4.6653337478637695,-0.046415116637945175,0.19066458940505981,6.890928268432617,5.074286937713623,0.028025798499584198,0.05267411842942238,0.19232527911663055,0.08632507920265198
1,0,0,3,6.848142623901367,4.6940813064575195,-0.095915786921978,0.19970832765102386,6.901853084564209,5.10149621963501,0.04035193473100662,0.08889786154031754,0.17027921974658966,0.07989602535963058
1,0,0,4,6.828644752502441,4.723081111907959,-0.16605441272258759,0.18998287618160248,6.91262674331665,5.128223896026611,0.056419968605041504,0.051923301070928574,0.1855114847421646,0.1355656087398529
1,0,0,5,6.796003818511963,4.743478298187256,-0.27470603585243225,0.05555357411503792,6.912943363189697,5.144505500793457,0.08079919964075089,-0.05115247145295143,0.03911946713924408,0.19184409081935883
1,0,0,6,6.745062351226807,4.758691310882568,-0.4116932451725006,0.11935057491064072,6.899848937988281,5.152615070343018,0.11662088334560394,-0.1295303851366043,0.07128307223320007,0.286918967962265
1,0,0,7,6.667756080627441,4.772382736206055,-0.6246136426925659,0.06982718408107758,6.863001346588135,5.1544952392578125,0.16644403338432312,-0.3683299422264099,-0.04145519435405731,0.3771347999572754
1,0,0,8,6.552318572998047,4.779946327209473,-0.9209035038948059,0.0469929575920105,6.78879976272583,5.144772052764893,0.23255884647369385,-0.630530059337616,-0.08529113233089447,0.5022129416465759
1,0,0,9,6.3907928466796875,4.81176233291626,-1.2452284097671509,0.35661208629608154,6.679687023162842,5.147607803344727,0.3185446262359619,-0.8361409902572632,0.12195570766925812,0.6437195539474487
1,0,0,10,6.166353702545166,4.876014232635498,-1.764091968536377,0.48562386631965637,6.526734828948975,5.160354137420654,0.4242146611213684,-1.2187442779541016,0.05848779156804085,0.768175482749939
1,0,0,11,5.854374408721924,4.966980457305908,-2.3880178928375244,0.7654715180397034,6.292856216430664,5.17873477935791,0.5509284138679504,-1.9100661277770996,0.1941005140542984,0.9188528656959534
1,0,0,12,5.435648441314697,5.106208801269531,-3.1974844932556152,1.1052428483963013,5.938369274139404,5.219292640686035,0.6988692879676819,-2.8233306407928467,0.3640415668487549,1.0545614957809448
1,0,0,13,4.892164707183838,5.317164421081543,-4.050078392028809,1.7145179510116577,5.433508396148682,5.311368942260742,0.8699648380279541,-3.905212640762329,0.8801330327987671,1.2259329557418823
1,0,0,14,4.214632034301758,5.6357903480529785,-4.982664108276367,2.5401947498321533,4.758419036865234,5.493707180023193,1.0727134943008423,-5.089008808135986,1.571966528892517,1.4739638566970825
1,1,0,0,6.863731861114502,4.590815544128418,-0.006092424970120192,-0.0552433505654335,6.874997138977051,5.00053596496582,0.005646517034620047,0.0329115204513073,-0.051301829516887665,0.02982376143336296
1,1,0,1,6.861959457397461,4.576771259307861,-0.019173569977283478,-0.1374007910490036,6.882391929626465,4.986322402954102,0.013105643913149834,0.06295235455036163,-0.13514983654022217,0.06931127607822418
1,1,0,2,6.8573408126831055,4.560122489929199,-0.04419245570898056,-0.08799241483211517,6.881174087524414,4.969635486602783,0.024806302040815353,-0.07807009667158127,-0.08816543966531754,0.08625010401010513
1,1,0,3,6.847657680511475,4.54984712600708,-0.08540010452270508,-0.04967443272471428,6.8742194175720215,4.959163665771484,0.03418432176113129,-0.018641650676727295,-0.05257647857069969,0.03997562825679779
1,1,0,4,6.830566883087158,4.536731719970703,-0.14279526472091675,-0.13766172528266907,6.872859001159668,4.944890975952148,0.03942130133509636,-0.001276533817872405,-0.13398365676403046,0.03181951120495796
1,1,0,5,6.804539203643799,4.518279552459717,-0.20386044681072235,-0.09895315766334534,6.867920398712158,4.92512845993042,0.04739651829004288,-0.06478703022003174,-0.13056723773479462,0.07503796368837357
