offset,distance,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
19,8,5,8.3,0.0,0.0,0.0,0.0,5.399999999999997,8.0,0.0,0.0,1.0,0.0
19,9,5,8.8,0.0,0.0,0.0,0.0,5.399999999999997,8.5,0.0,0.0,1.0,0.0
20,0,5,4.3,0.0,0.0,0.0,0.0,5.449999999999997,4.0,0.0,0.0,1.0,0.0
20,1,5,4.8,0.0,0.0,0.0,0.0,5.449999999999997,4.5,0.0,0.0,1.0,0.0
20,2,5,5.3,0.0,0.0,0.0,0.0,5.449999999999997,5.0,0.0,0.0,1.0,0.0
20,3,5,5.8,0.0,0.0,0.0,0.0,5.449999999999997,5.5,0.0,0.0,1.0,0.0
20,4,5,6.3,0.0,0.0,0.0,0.0,5.449999999999997,6.0,0.0,0.0,1.0,0.0
20,5,5,6.8,0.0,0.0,0.0,0.0,5.449999999999997,6.5,0.0,0.0,1.0,0.0
20,6,5,7.3,0.0,0.0,0.0,0.0,5.449999999999997,7.0,0.0,0.0,1.0,0.0
20,7,5,7.8,0.0,0.0,0.0,0.0,5.449999999999997,7.5,0.0,0.0,1.0,0.0
20,8,5,8.3,0.0,0.0,0.0,0.0,5.449999999999997,8.0,0.0,0.0,1.0,0.0
20,9,5,8.8,0.0,0.0,0.0,0.0,5.449999999999997,8.5,0.0,0.0,1.0,0.0
21,0,5,4.3,0.0,0.0,0.0,0.0,5.4999999999999964,4.0,0.0,0.0,1.0,0.0
21,1,5,4.8,0.0,0.0,0.0,0.0,5.4999999999999964,4.5,0.0,0.0,1.0,0.0
21,2,5,5.3,0.0,0.0,0.0,0.0,5.4999999999999964,5.0,0.0,0.0,1.0,0.0
21,3,5,5.8,0.0,0.0,0.0,0.0,5.4999999999999964,5.5,0.0,0.0,1.0,0.0
21,4,5,6.3,0.0,0.0,0.0,0.0,5.4999999999999964,6.0,0.0,0.0,1.0,0.0
21,5,5,6.8,0.0,0.0,0.0,0.0,5.4999999999999964,6.5,0.0,0.0,1.0,0.0
21,6,5,7.3,0.0,0.0,0.0,0.0,5.4999999999999964,7.0,0.0,0.0,1.0,0.0
21,7,5,7.8,0.0,0.0,0.0,0.0,5.4999999999999964,7.5,0.0,0.0,1.0,0.0
21,8,5,8.3,0.0,0.0,0.0,0.0,5.4999999999999964,8.0,0.0,0.0,1.0,0.0
21,9,5,8.8,0.0,0.0,0.0,0.0,5.4999999999999964,8.5,0.0,0.0,1.0,0.0
